portfolio,type,model,alpha,t_alpha,abs_alpha,significant
ME1 BM3,stock,three_factor_stock,-0.052806576188124676,-0.7876170320648517,0.052806576188124676,False
ME1 BM4,stock,three_factor_stock,0.06379193472248444,1.0498250044953976,0.06379193472248444,False
SMALL HiBM,stock,three_factor_stock,0.05862924323449483,0.8835175799746778,0.05862924323449483,False
ME2 BM1,stock,three_factor_stock,-0.13855006564665986,-1.6490379748571682,0.13855006564665986,False
ME2 BM2,stock,three_factor_stock,-0.02961450418834552,-0.42786834998878503,0.02961450418834552,False
ME2 BM3,stock,three_factor_stock,0.13510997383040702,2.0432096870798575,0.13510997383040702,True
ME2 BM4,stock,three_factor_stock,0.1426026834507338,2.2938525213670533,0.1426026834507338,True
ME2 BM5,stock,three_factor_stock,0.061979004745373836,0.9212964819322944,0.061979004745373836,False
ME3 BM1,stock,three_factor_stock,-0.03100988917459134,-0.41223646830432525,0.03100988917459134,False
ME3 BM2,stock,three_factor_stock,0.05117846778538672,0.7030261414205756,0.05117846778538672,False
ME3 BM3,stock,three_factor_stock,0.01858649748115902,0.2545004933023034,0.01858649748115902,False
ME3 BM4,stock,three_factor_stock,0.11860346019989038,1.7829672927589866,0.11860346019989038,False
ME3 BM5,stock,three_factor_stock,0.051793494284998465,0.6133287292933942,0.051793494284998465,False
ME4 BM1,stock,three_factor_stock,0.11883989716595894,1.5672356430110437,0.11883989716595894,False
ME4 BM2,stock,three_factor_stock,-0.15375733891303883,-1.8451984128762644,0.15375733891303883,False
ME4 BM3,stock,three_factor_stock,0.005306020791120698,0.06481512962637764,0.005306020791120698,False
ME4 BM4,stock,three_factor_stock,0.09608016965044067,1.1629437709902464,0.09608016965044067,False
ME4 BM5,stock,three_factor_stock,0.04054955755457198,0.4066733797785088,0.04054955755457198,False
BIG LoBM,stock,three_factor_stock,0.19408730826432466,2.8804630803689837,0.19408730826432466,True
ME5 BM2,stock,three_factor_stock,-0.029322419982699008,-0.40370015035349127,0.029322419982699008,False
ME5 BM3,stock,three_factor_stock,-0.05115812712857646,-0.5668883524270408,0.05115812712857646,False
ME5 BM4,stock,three_factor_stock,-0.06359938117942962,-0.8494736535064992,0.06359938117942962,False
BIG HiBM,stock,three_factor_stock,-0.17396194187474887,-1.6155731275238376,0.17396194187474887,False
SHORT_TERM,bond,three_factor_stock,0.05707431089173729,25.90064669475316,0.05707431089173729,True
LONG_TERM,bond,three_factor_stock,0.10323575259529938,17.325739195583424,0.10323575259529938,True
AAA,bond,three_factor_stock,0.12151235996555575,19.85489401665755,0.12151235996555575,True
AA,bond,three_factor_stock,0.13978896733581284,22.160821659597516,0.13978896733581284,True
A,bond,three_factor_stock,0.15806557470607058,24.24329038577734,0.15806557470607058,True
BBB,bond,three_factor_stock,0.1763421820763279,26.10980973924038,0.1763421820763279,True
