portfolio,type,model,alpha,t_alpha,abs_alpha,significant
ME1 BM2,stock,five_factor,-0.052763410668447065,-0.13487967943442855,0.052763410668447065,False
ME1 BM3,stock,five_factor,-0.5923198601238439,-1.7067298007173144,0.5923198601238439,False
ME1 BM4,stock,five_factor,-0.29076745185052416,-1.010595581684612,0.29076745185052416,False
SMALL HiBM,stock,five_factor,-0.023361779371275933,-0.07308858462484913,0.023361779371275933,False
ME2 BM1,stock,five_factor,1.1769502437541226,2.5163964792823936,1.1769502437541226,True
ME2 BM2,stock,five_factor,-0.923094078977584,-2.355989360000984,0.923094078977584,True
ME2 BM3,stock,five_factor,0.2912809983757254,0.903165327807011,0.2912809983757254,False
ME2 BM4,stock,five_factor,0.3338584840599004,1.0038622750215185,0.3338584840599004,False
ME2 BM5,stock,five_factor,0.8215230478686307,2.2448868187741984,0.8215230478686307,True
ME3 BM1,stock,five_factor,0.08770801424689413,0.22471272206023435,0.08770801424689413,False
ME3 BM2,stock,five_factor,-0.0944095505749408,-0.2672312133076032,0.0944095505749408,False
ME3 BM3,stock,five_factor,0.2660804812376611,0.7180261988697779,0.2660804812376611,False
ME3 BM4,stock,five_factor,0.05901710266019761,0.16833343999855765,0.05901710266019761,False
ME3 BM5,stock,five_factor,0.7609000960300873,2.108800229758172,0.7609000960300873,True
ME4 BM1,stock,five_factor,0.5126676965514492,1.5021024536770127,0.5126676965514492,False
ME4 BM2,stock,five_factor,-0.06103128255793484,-0.16560718665856325,0.06103128255793484,False
ME4 BM3,stock,five_factor,0.12183381257229554,0.3453344836086759,0.12183381257229554,False
ME4 BM4,stock,five_factor,0.4121671113271019,1.0299652787254847,0.4121671113271019,False
ME4 BM5,stock,five_factor,0.39125613203817927,0.7766082646110954,0.39125613203817927,False
BIG LoBM,stock,five_factor,0.23439266278211077,0.8390828000419713,0.23439266278211077,False
ME5 BM2,stock,five_factor,0.15244409995765829,0.516809809649033,0.15244409995765829,False
ME5 BM3,stock,five_factor,0.5591708044195122,1.6950084308012447,0.5591708044195122,False
ME5 BM4,stock,five_factor,0.3913743014042547,1.0387645650819082,0.3913743014042547,False
BIG HiBM,stock,five_factor,-0.8125397859314272,-1.617489137998313,0.8125397859314272,False
SHORT_TERM,bond,five_factor,0.013024532695484385,2.3403384529747315,0.013024532695484385,True
LONG_TERM,bond,five_factor,0.0041593327431068946,1.2994022049426124,0.0041593327431068946,False
AAA,bond,five_factor,0.00415933274310561,1.2994022049422203,0.00415933274310561,False
AA,bond,five_factor,0.00415933274310471,1.2994022049419658,0.00415933274310471,False
A,bond,five_factor,0.004159332743104583,1.2994022049419267,0.004159332743104583,False
BBB,bond,five_factor,0.004159332743104428,1.2994022049418703,0.004159332743104428,False
LOW_GRADE,bond,five_factor,0.0041593327431032785,1.2994022049415483,0.0041593327431032785,False
